Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live_x,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off_x,Crs_x,Int_x,TklW_x,PKwon,PKcon,OG,Recov,Won,Lost_x,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Total - Tkl,TklW_y,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers- Tkl,Att_x,Tkl%,Lost_y,Total Blocks,Shots Blocked,Passes Blocked,Int_y,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,TO,GCA - Sh,GCA - Fld,GCA - Def,Att_y,Live_y,Dead,FK_y,TB,Sw,Crs_y,TI,CK,In,Out,Str,Cmp,Off_y,Blocks,position_group
Enzo Boyomo,cm CMR,DF,Osasuna,23-189,2001,26.2,es La Liga,1326,157,657,638,45,17,1326,12,7,58.3,4,33.3,726,3514,1993,11,4,0,17,9,801,5,5,0,0,37,7,0,1,33,34,0,0,0,95,23,29,44.2,927,1074,86.3,17798,6981,321,350,91.7,510,553,92.2,89,149,59.7,0,0.8,0.5,-0.8,3,62,4,0,87,53,34,36,14,3,21,28,75.0,7,31,18,13,33,86,102,3,2,9,3,33.3,0.34,0.11,0.22,0.67,11.9,0,0,0,1.3,1.3,0.15,0.7,0.7,9,0.34,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1074,1015,57,41,2,6,1,10,0,0,0,0,927,2,7,Defender
Enzo Boyomo,cm CMR,DF,Valladolid,23-189,2001,3.0,es La Liga,215,23,131,79,6,4,215,1,1,100.0,0,0.0,128,563,282,1,0,0,0,0,159,0,0,0,0,3,0,0,0,1,2,0,0,0,11,3,5,37.5,174,190,91.6,3007,1118,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,7,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,190,182,8,4,0,1,0,0,0,0,0,0,174,0,0,Defender
Domagoj Bradarić,hr CRO,DF,Hellas Verona,25-125,1999,17.0,it Serie A,794,35,207,333,269,15,794,34,13,38.2,17,50.0,345,2084,1046,25,26,2,25,9,367,68,6,0,0,16,12,3,62,12,21,0,0,0,61,16,20,44.4,455,619,73.5,7763,2465,226,262,86.3,178,229,77.7,44,91,48.4,0,1.7,1.7,-1.7,19,25,14,9,35,28,21,17,7,4,14,24,58.3,10,16,4,12,12,40,42,1,0,6,3,50.0,0.35,0.18,0.0,0.0,22.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,37,2.18,23,10,2,1,1,0,1,0.06,1,0,0,0,0,0,619,457,161,17,0,3,62,123,21,11,7,0,455,1,19,Defender
Conor Bradley,nir NIR,DF,Liverpool,21-279,2003,5.1,eng Premier League,440,17,130,200,118,26,440,8,3,37.5,4,50.0,238,1386,777,21,13,5,8,1,275,21,2,0,0,7,7,0,5,3,8,0,0,0,33,7,5,58.3,311,369,84.3,4620,1211,176,191,92.1,118,132,89.4,10,27,37.0,1,0.4,0.3,0.6,3,18,2,1,22,11,8,5,4,2,8,16,50.0,8,3,0,3,3,14,19,0,0,8,3,37.5,1.56,0.58,0.0,0.0,14.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,12,2.34,9,0,2,0,1,0,2,0.39,2,0,0,0,0,0,369,316,52,10,0,2,5,42,0,0,0,0,311,1,9,Defender
Bilal Brahimi,dz ALG,MF,Nice,25-031,2000,0.8,fr Ligue 1,49,2,7,23,19,0,49,2,0,0.0,2,100.0,29,202,112,3,3,0,0,3,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35,40,87.5,614,163,15,16,93.8,18,19,94.7,2,4,50.0,0,0.0,0.2,0.0,1,1,1,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,100.0,1.18,1.18,0.0,0.0,23.0,1,0,0,0.0,0.0,0.04,0.0,0.0,1,1.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,40,35,5,0,0,0,5,3,2,1,1,0,35,0,1,Central Midfielders
Julian Brandt,de GER,MF,Dortmund,28-347,1996,21.8,de Bundesliga,1243,12,144,582,531,67,1243,45,16,35.6,26,57.8,721,3360,1594,46,38,13,43,28,925,172,1,0,0,6,8,4,67,14,10,0,0,0,102,11,25,30.6,812,1032,78.7,12563,3302,439,503,87.3,286,354,80.8,57,105,54.3,6,7.0,5.7,-1.0,52,78,39,6,122,20,10,11,7,2,14,33,42.4,19,15,0,15,14,34,12,1,3,39,12,30.8,1.79,0.55,0.08,0.25,19.0,6,0,0,3.9,3.9,0.1,-0.9,-0.9,87,3.99,74,6,2,5,0,0,9,0.41,8,1,0,0,0,0,1032,981,48,7,15,3,67,18,20,11,6,0,812,3,26,Central Midfielders
Jarrad Branthwaite,eng ENG,DF,Everton,22-291,2002,23.1,eng Premier League,1221,176,646,528,54,20,1221,5,3,60.0,1,20.0,580,3253,1974,9,13,2,8,3,695,1,4,0,0,8,12,1,2,23,18,0,0,0,76,45,34,57.0,763,941,81.1,14891,5876,280,315,88.9,386,426,90.6,91,172,52.9,1,0.6,0.4,0.4,2,69,2,0,54,33,18,25,8,0,18,25,72.0,7,27,19,8,23,56,166,3,0,7,2,28.6,0.3,0.09,0.0,0.0,8.2,0,0,0,0.8,0.8,0.11,-0.8,-0.8,12,0.52,10,1,0,0,1,0,2,0.09,1,1,0,0,0,0,941,903,34,29,1,12,2,2,0,0,0,0,763,4,6,Defender
Darko Brašanac,rs SRB,MF,Leganés,33-061,1992,15.5,es La Liga,570,43,144,256,170,27,570,6,1,16.7,5,83.3,225,841,376,6,7,0,13,5,304,49,2,0,0,33,12,4,9,13,10,1,0,0,53,18,35,34.0,317,425,74.6,4408,1017,184,211,87.2,101,141,71.6,13,30,43.3,2,0.4,0.5,1.6,8,20,2,0,36,23,10,4,13,6,8,15,53.3,7,19,9,10,13,36,31,0,1,10,3,30.0,0.65,0.19,0.1,0.33,12.7,0,0,0,1.7,1.7,0.17,-0.7,-0.7,28,1.81,23,0,0,3,2,0,2,0.13,2,0,0,0,0,0,425,406,18,1,1,1,9,3,0,0,0,0,317,1,16,Central Midfielders
Lilian Brassier,fr FRA,DF,Marseille,25-163,1999,8.7,fr Ligue 1,732,59,303,382,48,11,732,9,1,11.1,6,66.7,447,2283,1109,11,8,0,9,4,532,8,3,0,0,7,3,0,5,9,6,0,0,0,38,17,7,70.8,560,653,85.8,8815,2726,270,284,95.1,259,297,87.2,19,46,41.3,0,0.0,0.1,0.0,1,48,2,0,40,8,6,8,0,0,5,6,83.3,1,8,3,5,9,17,28,2,0,5,1,20.0,0.58,0.12,0.0,0.0,11.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,3,0.35,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,653,605,43,12,0,2,5,21,0,0,0,0,560,5,6,Defender
Lilian Brassier,fr FRA,DF,Rennes,25-163,1999,8.7,fr Ligue 1,679,64,280,337,70,12,679,4,2,50.0,0,0.0,399,2373,1291,17,11,1,6,1,480,7,0,0,0,4,8,0,7,19,7,0,0,0,33,17,4,81.0,485,573,84.6,9198,3392,171,187,91.4,263,294,89.5,46,79,58.2,0,0.2,0.3,-0.2,3,50,4,0,47,8,7,8,0,0,5,6,83.3,1,14,9,5,19,27,43,0,1,11,1,9.1,1.26,0.11,0.09,1.0,14.0,0,0,0,1.3,1.3,0.12,-0.3,-0.3,13,1.49,11,1,0,1,0,0,0,0.0,0,0,0,0,0,0,573,543,28,23,1,5,7,1,0,0,0,0,485,2,6,Defender
Matthias Braunöder,at AUT,MF,Como,23-018,2002,3.0,it Serie A,175,4,43,108,25,3,175,4,1,25.0,2,50.0,88,362,187,2,4,1,3,2,112,0,3,1,1,10,5,0,0,2,4,0,0,0,8,1,4,20.0,128,146,87.7,2154,616,60,64,93.8,55,61,90.2,10,16,62.5,0,0.0,0.0,0.0,0,13,0,0,18,10,4,6,3,1,7,11,63.6,4,3,0,3,2,12,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,1.34,2,0,0,1,1,0,0,0.0,0,0,0,0,0,0,146,143,3,3,0,0,0,0,0,0,0,0,128,0,1,Central Midfielders
Iker Bravo,es ESP,"FW,MF",Udinese,20-091,2005,6.2,it Serie A,250,3,24,110,120,22,250,24,10,41.7,14,58.3,133,688,237,4,4,5,27,12,162,32,3,0,0,10,10,1,7,0,5,0,0,0,27,11,23,32.4,133,167,79.6,1898,359,74,84,88.1,40,50,80.0,8,15,53.3,1,0.4,0.4,0.6,6,9,5,0,15,9,5,2,5,2,4,8,50.0,4,2,0,2,0,9,4,0,2,11,3,27.3,1.76,0.48,0.18,0.67,16.7,0,0,0,0.8,0.8,0.08,1.2,1.2,13,2.08,9,2,1,1,0,0,0,0.0,0,0,0,0,0,0,167,150,15,5,1,0,7,3,5,1,2,0,133,2,4,Attacking Midfielders
James Bree,eng ENG,DF,Southampton,27-185,1997,9.9,eng Premier League,598,42,194,261,148,10,598,8,4,50.0,2,25.0,316,1372,688,9,11,0,6,4,385,34,0,0,0,2,4,0,24,8,10,0,0,0,56,12,4,75.0,437,521,83.9,6984,1895,208,229,90.8,197,223,88.3,24,47,51.1,1,0.9,0.7,0.1,10,25,6,5,30,15,10,5,9,1,7,17,41.2,10,8,3,5,8,23,24,0,0,4,1,25.0,0.4,0.1,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,15,1.52,12,2,0,1,0,0,1,0.1,1,0,0,0,0,0,521,482,38,9,0,0,24,25,3,2,0,0,437,1,7,Defender
Tim Breithaupt,de GER,MF,Augsburg,23-066,2002,1.3,de Bundesliga,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174,67,1,0,0,3,2,47,1,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4,58,67,86.6,1042,369,20,24,83.3,34,36,94.4,3,4,75.0,1,0.4,0.3,0.6,1,10,1,1,10,1,1,0,1,0,0,4,0.0,4,1,0,1,2,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,2.25,3,0,0,0,0,0,2,1.5,2,0,0,0,0,0,67,65,2,2,0,0,1,0,0,0,0,0,58,0,2,Central Midfielders
Gleison Bremer,br BRA,DF,Juventus,28-027,1997,6.0,it Serie A,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0,2,0,0,9,5,0,0,6,7,0,0,0,23,11,7,61.1,468,504,92.9,9245,3225,142,149,95.3,279,295,94.6,46,57,80.7,0,0.0,0.1,0.0,0,26,0,0,21,15,7,9,5,1,4,5,80.0,1,15,11,4,6,21,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,504,496,8,6,0,1,0,1,0,0,0,0,468,0,0,Defender
Brenner,br BRA,"MF,FW",Udinese,25-088,2000,4.3,it Serie A,151,5,28,74,53,6,151,5,3,60.0,2,40.0,94,502,210,5,4,1,5,9,107,16,0,0,0,0,5,0,11,1,4,0,0,0,16,2,3,40.0,87,114,76.3,1480,357,43,47,91.5,31,38,81.6,12,21,57.1,2,0.5,0.1,1.5,5,5,1,1,7,6,4,2,3,1,3,8,37.5,5,4,0,4,1,7,6,0,1,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,0.4,0.4,11,2.56,8,3,0,0,0,0,1,0.23,1,0,0,0,0,0,114,100,13,6,1,1,11,1,6,3,3,0,87,1,3,Attacking Midfielders
Ben Brereton,cl CHI,FW,Southampton,25-361,1999,5.0,eng Premier League,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,0,11,1,9.1,2.2,0.2,0.0,0.0,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,9,1.8,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0,166,163,2,1,1,0,5,1,0,0,0,0,128,1,3,Forwards
Marco Brescianini,it ITA,MF,Atalanta,25-084,2000,9.4,it Serie A,454,4,45,216,199,32,454,22,7,31.8,13,59.1,303,2039,1036,42,26,11,24,19,353,65,1,0,0,19,7,2,18,2,9,0,0,0,43,9,10,47.4,271,347,78.1,3720,718,175,197,88.8,84,109,77.1,5,16,31.3,2,0.9,0.7,1.1,6,21,8,2,27,15,9,4,7,4,7,9,77.8,2,13,1,12,2,17,5,0,3,17,7,41.2,1.8,0.74,0.18,0.43,13.1,0,0,0,2.9,2.9,0.17,0.1,0.1,19,2.02,16,0,2,1,0,0,4,0.42,3,0,0,1,0,0,347,340,6,0,4,2,18,4,2,1,0,0,271,1,13,Central Midfielders
Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-243,2000,3.9,de Bundesliga,140,5,17,77,51,17,139,7,3,42.9,3,42.9,78,304,138,5,4,2,15,6,96,13,0,0,0,8,5,1,1,1,3,0,0,0,13,9,31,22.5,47,81,58.0,789,140,19,37,51.4,20,25,80.0,5,6,83.3,0,0.2,0.1,-0.2,4,5,0,0,7,4,3,1,2,1,3,6,50.0,3,9,2,7,1,5,3,0,2,10,2,20.0,2.57,0.51,0.1,0.5,15.2,0,1,1,3.4,2.7,0.27,-1.4,-1.7,8,2.06,5,1,1,1,0,0,0,0.0,0,0,0,0,0,0,81,78,3,0,0,1,1,3,0,0,0,0,47,0,6,Attacking Midfielders
Anthony Briançon,fr FRA,DF,Saint-Étienne,30-137,1994,0.0,fr Ligue 1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-009,1998,6.7,eng Premier League,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27,1,0,0,4,13,2,9,4,3,0,0,0,30,1,9,10.0,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12,7,3,2,5,0,3,9,33.3,6,6,1,5,4,11,5,0,1,10,6,60.0,1.49,0.89,0.1,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,19,2.83,14,0,5,0,0,0,2,0.3,1,0,1,0,0,0,196,186,10,0,3,1,9,2,3,3,0,0,149,0,11,Attacking Midfielders
Armando Broja,al ALB,FW,Everton,23-216,2001,3.0,eng Premier League,108,4,12,33,69,18,108,16,8,50.0,7,43.8,57,564,279,12,8,3,11,12,79,25,1,0,0,5,4,3,1,0,1,0,0,0,7,13,16,44.8,49,62,79.0,542,100,34,41,82.9,8,10,80.0,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,2.32,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,62,62,0,0,0,0,1,0,0,0,0,0,49,0,1,Forwards
David Brooks,wls WAL,"FW,MF",Bournemouth,27-280,1997,8.8,eng Premier League,427,12,53,160,222,32,427,30,8,26.7,19,63.3,262,1775,792,25,20,8,26,10,284,72,3,0,0,8,14,0,43,5,4,0,0,0,44,6,9,40.0,228,311,73.3,3546,1098,128,152,84.2,78,103,75.7,16,33,48.5,0,1.7,1.6,-1.7,15,15,14,5,26,11,4,2,6,3,1,13,7.7,12,16,2,14,5,16,7,1,2,22,10,45.5,2.5,1.13,0.09,0.2,16.8,0,0,0,2.2,2.2,0.1,-0.2,-0.2,34,3.86,28,3,2,1,0,0,2,0.23,1,0,0,1,0,0,311,280,31,8,2,0,43,9,13,6,3,0,228,0,13,Attacking Midfielders
Arvid Brorsson,se SWE,DF,Monza,25-341,1999,1.2,it Serie A,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,2,60.0,56,66,84.8,1170,349,12,15,80.0,40,44,90.9,4,7,57.1,0,0.0,0.0,0.0,0,0,0,0,2,2,2,1,1,0,2,2,100.0,0,5,4,1,0,2,13,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,56,0,0,Defender
Moritz Broschinski,de GER,"FW,MF",Bochum,24-203,2000,14.3,de Bundesliga,505,18,51,201,263,61,505,45,12,26.7,32,71.1,289,1657,733,32,19,11,63,29,354,120,1,0,0,22,16,4,24,1,14,0,0,0,57,30,40,42.9,174,272,64.0,2595,534,96,127,75.6,59,81,72.8,9,18,50.0,3,1.7,1.4,1.3,11,8,8,4,19,18,14,6,6,6,5,14,35.7,9,16,0,16,1,19,17,0,1,36,11,30.6,2.51,0.77,0.03,0.09,17.2,0,0,0,4.1,4.1,0.11,-3.1,-3.1,35,2.45,26,0,3,4,2,0,4,0.28,2,0,1,1,0,0,272,251,19,1,0,0,24,2,0,0,0,0,174,2,22,Attacking Midfielders
Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,21-302,2003,16.7,de Bundesliga,978,41,273,398,319,45,978,25,8,32.0,16,64.0,503,2680,1399,34,22,5,24,9,549,98,1,0,0,11,19,0,70,13,36,0,0,0,68,5,14,26.3,616,756,81.5,8956,2681,359,382,94.0,192,233,82.4,37,71,52.1,5,4.0,3.9,1.0,33,31,19,5,58,54,36,29,13,12,36,44,81.8,8,25,0,25,13,67,51,1,3,12,5,41.7,0.72,0.3,0.25,0.6,15.2,0,0,0,2.2,2.2,0.18,0.8,0.8,53,3.18,37,13,0,1,2,0,8,0.48,6,2,0,0,0,0,756,598,152,18,2,3,70,102,32,28,0,0,616,6,20,Defender
Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,26-207,1998,4.4,de Bundesliga,226,3,17,82,133,30,226,21,7,33.3,13,61.9,147,896,471,16,13,8,9,9,167,41,0,0,0,2,2,3,19,1,3,0,0,0,16,5,3,62.5,121,163,74.2,1819,401,61,72,84.7,40,56,71.4,10,20,50.0,2,0.6,0.7,1.4,8,7,6,2,16,4,3,1,2,1,3,8,37.5,5,5,1,4,1,5,2,0,2,14,6,42.9,3.15,1.35,0.14,0.33,15.2,0,0,0,2.3,2.3,0.16,-0.3,-0.3,19,4.29,12,1,2,4,0,0,4,0.9,2,0,1,1,0,0,163,150,13,1,2,2,19,5,5,2,3,0,121,0,3,Attacking Midfielders
Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,26-207,1998,4.2,de Bundesliga,184,2,19,72,93,22,184,19,8,42.1,10,52.6,111,761,355,17,5,9,11,2,131,36,1,0,0,2,2,5,15,1,1,0,0,0,10,2,5,28.6,97,139,69.8,1546,436,55,71,77.5,36,48,75.0,5,11,45.5,0,1.2,1.5,-1.2,9,7,13,5,15,1,1,1,0,0,0,2,0.0,2,5,0,5,1,2,3,1,1,3,2,66.7,0.72,0.48,0.33,0.5,19.5,0,0,0,0.3,0.3,0.1,0.7,0.7,14,3.34,13,0,1,0,0,0,0,0.0,0,0,0,0,0,0,139,133,5,1,2,3,15,1,3,2,1,0,97,1,4,Attacking Midfielders
Tajon Buchanan,ca CAN,"DF,FW",Inter,26-065,1999,1.1,it Serie A,64,3,18,29,19,2,64,9,3,33.3,4,44.4,42,403,259,6,3,0,2,2,44,8,0,0,0,2,4,0,3,0,0,0,0,0,6,1,0,100.0,40,48,83.3,509,151,27,28,96.4,13,16,81.3,0,2,0.0,0,0.1,0.1,-0.1,1,2,0,0,2,3,0,2,0,1,1,2,50.0,1,0,0,0,0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,2.84,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,48,41,7,2,0,0,3,5,0,0,0,0,40,0,1,Wing-Back
Tajon Buchanan,ca CAN,MF,Villarreal,26-065,1999,2.6,es La Liga,150,2,30,42,82,16,150,14,7,50.0,5,35.7,92,666,301,13,6,3,11,5,91,30,0,0,0,7,10,3,15,1,4,0,0,0,16,3,2,60.0,67,98,68.4,900,245,48,62,77.4,9,15,60.0,6,11,54.5,1,0.5,0.5,0.5,3,2,3,1,3,7,4,5,2,0,5,8,62.5,3,4,0,4,1,8,1,0,0,3,1,33.3,1.14,0.38,0.0,0.0,25.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,12,4.54,8,1,1,1,1,0,1,0.38,1,0,0,0,0,0,98,95,3,1,0,0,15,2,0,0,0,0,67,0,4,Central Midfielders
Ante Budimir,hr CRO,FW,Osasuna,33-266,1991,26.4,es La Liga,664,21,39,288,343,140,657,36,10,27.8,23,63.9,317,1408,490,22,15,8,69,36,453,108,3,0,0,34,27,13,5,1,8,6,0,0,47,122,119,50.6,197,368,53.5,2457,428,137,215,63.7,49,101,48.5,1,7,14.3,3,1.6,1.1,1.4,15,7,7,0,21,17,8,3,9,5,2,11,18.2,9,18,4,14,1,18,17,0,16,68,20,29.4,2.58,0.76,0.13,0.45,13.3,0,7,7,14.9,9.6,0.14,1.1,-0.6,40,1.52,23,0,3,6,8,0,12,0.46,2,0,1,2,7,0,368,345,21,1,1,0,5,1,0,0,0,0,197,2,7,Forwards
Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-110,1996,1.1,eng Premier League,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,60,59,1,1,1,0,0,0,0,0,0,0,49,0,0,Attacking Midfielders
Emi Buendía,ar ARG,"MF,FW",Leverkusen,28-110,1996,1.5,de Bundesliga,130,0,12,73,46,7,130,8,4,50.0,2,25.0,76,242,102,2,2,1,8,6,102,17,0,0,0,4,2,0,3,0,2,0,0,0,13,1,2,33.3,81,104,77.9,1152,318,45,51,88.2,28,34,82.4,3,7,42.9,0,0.8,0.4,-0.8,5,7,3,0,12,3,2,1,1,1,3,5,60.0,2,4,0,4,0,3,0,0,1,5,3,60.0,3.44,2.06,0.2,0.33,16.6,0,0,0,0.8,0.8,0.16,0.2,0.2,9,6.09,5,0,1,2,1,0,1,0.68,0,0,0,1,0,0,104,103,0,0,0,1,3,0,0,0,0,0,81,1,2,Attacking Midfielders
Manu Bueno,es ESP,MF,Sevilla,20-261,2004,1.2,es La Liga,65,2,11,33,21,2,65,2,1,50.0,1,50.0,38,191,86,2,3,0,2,2,51,4,0,0,0,2,3,0,0,0,3,0,0,0,6,0,1,0.0,43,48,89.6,705,82,22,24,91.7,16,17,94.1,3,4,75.0,0,0.0,0.0,0.0,0,4,1,0,3,4,3,0,1,3,1,2,50.0,1,0,0,0,0,4,2,0,1,4,1,25.0,3.46,0.87,0.25,1.0,26.8,0,0,0,0.1,0.1,0.03,0.9,0.9,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,48,47,1,1,0,0,0,0,0,0,0,0,43,0,0,Central Midfielders
Santiago Bueno,uy URU,DF,Wolves,26-156,1998,17.6,eng Premier League,958,156,486,456,19,6,958,2,0,0.0,2,100.0,523,2659,1403,1,2,0,2,2,625,1,2,0,0,26,5,0,0,14,17,0,0,0,42,34,31,52.3,702,798,88.0,12901,4009,247,267,92.5,393,419,93.8,50,88,56.8,0,0.0,0.1,0.0,0,21,1,0,27,33,17,21,11,1,14,18,77.8,4,32,18,14,14,47,61,0,0,6,3,50.0,0.34,0.17,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,11,0.63,9,1,0,0,0,1,4,0.23,3,0,0,0,0,1,798,765,32,20,1,3,0,3,0,0,0,0,702,1,8,Defender
Endika Buján,es ESP,FW,Athletic Club,22-088,2003,0.1,es La Liga,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Forwards
Marius Bülter,de GER,FW,Hoffenheim,32-016,1993,14.9,de Bundesliga,550,13,63,207,288,65,550,35,19,54.3,16,45.7,374,2217,1090,43,17,19,35,17,429,124,4,0,0,10,28,5,65,2,8,1,0,0,47,14,24,36.8,270,414,65.2,4392,1145,141,180,78.3,93,138,67.4,25,55,45.5,1,2.6,3.2,-1.6,15,21,21,10,25,8,8,2,4,2,7,13,53.8,6,5,1,4,2,10,9,0,4,27,12,44.4,1.81,0.8,0.15,0.33,15.5,0,0,0,3.1,3.1,0.11,0.9,0.9,38,2.54,26,0,3,2,6,1,5,0.33,2,0,2,0,1,0,414,391,23,1,3,2,65,15,0,0,0,0,270,0,26,Forwards
