Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live_x,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off_x,Crs_x,Int_x,TklW_x,PKwon,PKcon,OG,Recov,Won,Lost_x,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Total - Tkl,TklW_y,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers- Tkl,Att_x,Tkl%,Lost_y,Total Blocks,Shots Blocked,Passes Blocked,Int_y,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,TO,GCA - Sh,GCA - Fld,GCA - Def,Att_y,Live_y,Dead,FK_y,TB,Sw,Crs_y,TI,CK,In,Out,Str,Cmp,Off_y,Blocks,position_group
Abel,es ESP,DF,Osasuna,24-236,2000,19.7,es La Liga,1088,58,325,493,279,13,1088,29,14,48.3,11,37.9,484,2754,1502,44,37,5,23,13,533,70,3,0,0,19,26,1,74,15,29,0,1,0,95,16,14,53.3,621,876,70.9,10440,4359,309,353,87.5,248,320,77.5,51,141,36.2,0,0.9,1.3,-0.9,12,47,13,10,61,49,29,23,19,7,31,49,63.3,18,22,2,20,15,64,56,2,2,10,4,40.0,0.51,0.2,0.2,0.5,24.7,0,0,0,0.4,0.4,0.04,1.6,1.6,27,1.37,22,1,2,0,1,1,3,0.15,1,0,1,0,0,1,876,681,192,10,3,1,74,182,0,0,0,0,621,3,43,Defender
Nabil Aberdin,fr FRA,MF,Getafe,22-234,2002,2.9,es La Liga,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.03,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Central Midfielders
Oliver Abildgaard,dk DEN,MF,Como,28-308,1996,0.1,it Serie A,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Central Midfielders
Matthis Abline,fr FRA,FW,Nantes,22-017,2003,25.0,fr Ligue 1,717,28,65,307,360,118,716,77,31,40.3,43,55.8,486,3043,1466,58,33,34,80,53,560,137,2,0,0,26,48,5,26,3,5,0,0,0,71,46,61,43.0,283,425,66.6,4122,755,152,208,73.1,95,127,74.8,16,32,50.0,2,3.1,2.9,-1.1,21,18,14,4,37,11,5,2,4,5,3,9,33.3,6,11,1,10,3,14,30,1,8,65,24,36.9,2.6,0.96,0.11,0.29,14.9,0,1,1,7.6,6.8,0.1,0.4,0.2,54,2.16,37,0,8,5,3,1,8,0.32,6,0,2,0,0,0,425,401,23,1,2,4,26,1,0,0,0,0,283,1,22,Forwards
Abner,br BRA,DF,Lyon,24-322,2000,11.0,fr Ligue 1,708,35,174,321,215,21,708,11,5,45.5,6,54.5,368,1674,1072,27,14,5,13,8,456,54,1,0,0,15,4,0,27,5,19,0,0,0,43,5,9,35.7,509,603,84.4,7302,3053,309,339,91.2,157,185,84.9,27,43,62.8,1,1.1,2.3,-0.1,11,37,11,2,58,25,19,10,8,7,18,27,66.7,9,14,2,12,5,30,37,0,1,6,3,50.0,0.54,0.27,0.17,0.33,19.9,0,0,0,0.2,0.2,0.03,0.8,0.8,21,1.9,18,3,0,0,0,0,1,0.09,1,0,0,0,0,0,603,513,88,9,1,2,27,73,6,6,0,0,509,2,16,Defender
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-055,2000,20.3,fr Ligue 1,582,5,55,188,344,107,580,45,12,26.7,31,68.9,353,1778,797,29,20,16,61,25,429,152,4,0,0,34,23,10,31,6,11,2,0,0,56,21,38,35.6,212,335,63.3,2647,728,140,186,75.3,52,90,57.8,6,14,42.9,2,1.5,1.8,0.5,11,15,9,3,22,19,11,6,7,6,4,21,19.0,17,16,1,15,6,25,8,0,7,59,24,40.7,2.91,1.18,0.1,0.25,14.5,0,1,2,10.1,8.5,0.14,-3.1,-2.5,32,1.58,18,0,4,5,4,1,7,0.34,3,0,1,0,3,0,335,319,13,1,0,0,31,7,3,2,0,0,212,3,13,Attacking Midfielders
Abdel Abqar,ma MAR,DF,Alavés,26-035,1999,27.4,es La Liga,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,0.7,8,67,10,2,79,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,0,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,Defender
Tammy Abraham,eng ENG,FW,Roma,27-194,1997,0.0,it Serie A,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Forwards
Tammy Abraham,eng ENG,FW,Milan,27-194,1997,12.3,it Serie A,337,18,40,154,143,57,335,14,4,28.6,10,71.4,140,499,164,6,5,3,22,10,216,65,1,0,0,21,8,6,3,2,10,1,0,0,11,32,33,49.2,142,203,70.0,1847,526,85,112,75.9,45,70,64.3,3,5,60.0,4,2.1,1.2,1.9,13,13,10,0,26,15,10,1,10,4,5,7,71.4,2,10,0,10,2,17,13,0,3,25,11,44.0,2.04,0.9,0.08,0.18,13.0,0,1,2,7.0,5.3,0.21,-4.0,-3.3,31,2.52,26,0,0,4,1,0,9,0.73,7,0,0,1,1,0,203,185,17,0,4,0,3,0,0,0,0,0,142,1,5,Forwards
Federico Accornero,it ITA,MF,Genoa,21-068,2004,0.1,it Serie A,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,Central Midfielders
Francesco Acerbi,it ITA,DF,Inter,37-063,1988,15.4,it Serie A,1218,113,515,627,80,17,1218,3,3,100.0,0,0.0,774,3354,1678,13,13,1,7,1,906,16,0,0,0,10,16,1,7,24,16,0,0,0,46,46,24,65.7,992,1066,93.1,18590,5305,333,356,93.5,573,594,96.5,76,93,81.7,1,0.5,0.9,0.5,8,44,5,3,52,19,16,12,7,0,8,12,66.7,4,18,13,5,24,43,67,0,0,4,1,25.0,0.26,0.06,0.0,0.0,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,18,1.17,18,0,0,0,0,0,1,0.06,1,0,0,0,0,0,1066,1027,37,24,0,1,7,8,0,0,0,0,992,2,3,Defender
