Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - Final 1/3 Entry,Carries - CPA,Carries - Miscontrols,Carries - Dispossessed,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tackles - Tkl,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers Tackled - Tkl,Att,Tkl%,Total Blocks,Shots Blocked,Passes Blocked,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,SCA - TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,GCA - TO,GCA - Sh,GCA - Fld,GCA - Def,Dead,TB,Sw,TI,CK,In,Out,Str,Cmp,Blocks,Season,position_group,Age_Years
Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,eng Premier League,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,0.2,7,25,13,2,43,29,20,7,2,20,34,58.8,9,5,4,37,27,0,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,127,2,3,116,0,0,0,0,450,23,2023-2024,Defender,23
Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,14.1,de Bundesliga,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,0.1,22,30,14,3,56,32,13,13,6,16,32,50.0,26,1,25,34,4,0,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,29,5,1,12,6,2,3,0,365,21,2023-2024,Attacking Midfielders,22
Paxten Aaronson,us USA,MF,Eint Frankfurt,19,2003,1.1,de Bundesliga,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,0.9,1,4,2,0,5,2,1,1,0,1,1,100.0,2,0,2,2,0,0,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,2,0,0,1,0,0,0,0,41,0,2023-2024,Central Midfielders,19
Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,0.0,fr Ligue 1,1,0,0,1,0,0,1,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,100.0,8,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-2024,Forwards,17
Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,30.9,fr Ligue 1,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,64,36,23,5,26,45,57.8,51,32,19,103,109,2,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,0.6,0.4,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,178,2,13,29,0,0,0,0,1552,20,2023-2024,Defender,35
Salis Abdul Samed,gh GHA,MF,Lens,23,2000,16.9,fr Ligue 1,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,21,8,10,3,8,18,44.4,12,1,11,33,18,0,0,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,27,1.6,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,18,0,1,1,0,0,0,0,796,17,2023-2024,Central Midfielders,23
Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2.0,es La Liga,87,4,37,49,1,1,87,0,0,0.0,0,0.0,47,326,183,0,0,0,1,1,54,0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,0,0,0,0,0,1,0.0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,60,0,2023-2024,Defender,20
Laurent Abergel,fr FRA,MF,Lorient,30,1993,31.8,fr Ligue 1,2165,105,553,1289,349,10,2165,65,44,67.7,18,27.7,1650,8705,3885,38,49,3,32,30,1503,51,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.1,1.9,-1.1,30,188,23,3,194,85,43,34,8,38,96,39.6,29,6,23,146,61,3,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,0.9,0.9,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,88,6,13,14,0,0,0,0,1551,25,2023-2024,Central Midfielders,30
Matthis Abline,fr FRA,FW,Nantes,20,2003,11.6,fr Ligue 1,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,9,4,3,2,3,8,37.5,3,0,3,12,5,0,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,1.2,1.2,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,12,2,1,1,0,0,0,0,162,11,2023-2024,Forwards,20
Abner,br BRA,DF,Betis,23,2000,15.6,es La Liga,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,25,15,9,1,17,34,50.0,23,5,18,40,62,0,0,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,165,0,3,158,0,0,0,0,615,23,2023-2024,Defender,23
