Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - Final 1/3 Entry,Carries - CPA,Carries - Miscontrols,Carries - Dispossessed,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tackles - Tkl,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers Tackled - Tkl,Att,Tkl%,Total Blocks,Shots Blocked,Passes Blocked,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,SCA - TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,GCA - TO,GCA - Sh,GCA - Fld,GCA - Def,Dead,TB,Sw,TI,CK,In,Out,Str,Cmp,Blocks,Season,position_group,Age_Years
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,23,2000,8.4,fr Ligue 1,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,9,1,5,3,3,12,25.0,9,1,8,10,2,0,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,0.2,0.0,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,11,0,0,9,0,0,0,0,140,7,2023-2024,Attacking Midfielders,23
Abdel Abqar,ma MAR,DF,Alavés,24,1999,25.7,es La Liga,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,35,28,5,2,21,35,60.0,31,26,5,58,115,0,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0,55,0,17,4,0,0,0,0,553,10,2023-2024,Defender,24
Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,it Serie A,69,4,4,31,34,9,69,6,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,3,0,1,2,0,0,0.0,1,0,1,3,4,0,1,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0,0,0.6,0.6,0.15,0.4,0.4,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,2,0,0,0,0,0,0,0,19,1,2023-2024,Forwards,25
Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,it Serie A,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,22,16,6,0,11,14,78.6,20,13,7,54,77,1,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,1.6,1.6,0.11,1.4,1.4,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0,60,0,11,8,0,0,0,0,1615,5,2023-2024,Defender,35
Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,eng Premier League,6,5,5,0,1,0,6,0,0,0.0,0,0.0,1,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1,2,50.0,18,7,0,0,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,15.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2023-2024,Defender,17
Marcos Acuña,ar ARG,DF,Sevilla,31,1991,14.4,es La Liga,984,33,270,476,253,10,984,21,10,47.6,8,38.1,473,2266,1224,23,20,4,20,16,546,42,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2,628,847,74.1,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,2,1.5,2.1,0.5,23,52,19,12,59,33,20,12,1,9,14,64.3,12,2,10,37,25,0,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,0.7,0.7,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0,173,1,11,122,19,7,12,0,628,16,2023-2024,Defender,31
Akor Adams,ng NGA,FW,Montpellier,23,2000,25.0,fr Ligue 1,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1,1.9,1.4,-0.9,17,14,4,2,17,12,3,4,5,3,7,42.9,9,2,7,17,11,0,8,79,32,40.5,3.16,1.28,0.1,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,10,2,1,1,0,0,0,0,250,20,2023-2024,Forwards,23
Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,eng Premier League,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,4,1,3,0,2,3,66.7,2,0,2,8,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,2.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,59,0,2023-2024,Central Midfielders,24
Junior Adamu,at AUT,"FW,MF",Freiburg,22,2001,1.2,de Bundesliga,54,2,7,32,18,6,54,3,0,0.0,2,66.7,29,141,48,1,1,0,5,5,33,5,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,5,1,2,2,1,2,50.0,1,0,1,5,2,0,0,2,1,50.0,1.71,0.86,0.0,0.0,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2,1.73,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,2023-2024,Attacking Midfielders,22
Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,8.9,de Bundesliga,312,8,30,151,136,52,312,18,7,38.9,10,55.6,162,814,344,15,9,5,27,17,183,42,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,2,2.0,1.1,0.0,12,16,3,0,18,14,2,9,3,6,11,54.5,16,1,15,19,7,0,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0,22,0,2,2,0,0,0,0,132,6,2023-2024,Attacking Midfielders,30
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,eng Premier League,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,21,16,5,0,12,21,57.1,16,11,5,46,80,0,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3,10,0.56,6,0,0,4,0,0,0,0.0,0,0,0,0,0,0,33,1,9,2,0,0,0,0,1028,8,2023-2024,Defender,25
Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,eng Premier League,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,4,1,0,3,1,12,8.3,13,2,11,10,25,0,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,4.1,4.1,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,1,1,0,1,0,0,0,0,144,5,2023-2024,Forwards,25
Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,10.1,de Bundesliga,458,10,69,170,227,63,458,60,18,30.0,32,53.3,310,2413,1171,52,22,27,29,25,318,96,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2.0,1.6,-1.0,9,9,10,1,26,16,9,4,3,8,20,40.0,11,0,11,19,5,0,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,25,2.46,13,1,3,2,6,0,2,0.2,2,0,0,0,0,0,19,0,1,11,4,1,2,0,218,16,2023-2024,Attacking Midfielders,21
Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,eng Premier League,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,45,23,11,11,19,42,45.2,31,1,30,64,22,0,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,1.7,1.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,23,7,2,15,5,0,1,0,634,29,2023-2024,Forwards,21
Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,13.8,fr Ligue 1,811,94,374,397,46,10,811,5,4,80.0,1,20.0,554,3506,1609,10,12,0,12,5,511,4,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,13,8,3,2,6,7,85.7,15,8,7,31,64,1,0,4,0,0.0,0.29,0.0,0.0,0.0,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,11,0.8,8,0,0,0,1,2,0,0.0,0,0,0,0,0,0,40,0,3,11,0,0,0,0,578,5,2023-2024,Defender,20
Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,10.0,de Bundesliga,575,7,52,231,299,66,575,27,13,48.1,10,37.0,339,1768,1021,32,25,16,17,10,460,131,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,6,2.3,2.9,3.7,21,19,18,3,39,16,2,10,4,7,17,41.2,10,2,8,22,5,0,4,27,15,55.6,2.71,1.5,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,0.7,0.7,52,5.22,39,0,6,3,4,0,9,0.9,5,0,2,1,1,0,11,2,1,7,0,0,0,0,367,10,2023-2024,Attacking Midfielders,23
Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,it Serie A,1439,38,262,913,281,8,1439,32,22,68.8,8,25.0,873,4728,2144,30,27,3,18,10,1053,26,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,34,17,13,4,13,35,37.1,22,8,14,54,15,1,1,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0,0,0,0.3,0.3,0.07,0.7,0.7,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0,78,3,16,7,35,11,12,0,1125,14,2023-2024,Central Midfielders,23
Adryelson,br BRA,"DF,FW",Lyon,25,1998,0.1,fr Ligue 1,9,2,9,0,0,0,9,0,0,0.0,0,0.0,5,22,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2023-2024,Wing-Back,25
Adson,br BRA,"MF,FW",Nantes,22,2000,2.6,fr Ligue 1,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15,7,1,6,0,2,2,100.0,5,0,5,9,2,0,0,5,0,0.0,1.89,0.0,0.0,0.0,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,9,3.4,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,115,2,2023-2024,Attacking Midfielders,22
Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,it Serie A,1694,51,405,1032,270,23,1694,25,14,56.0,9,36.0,1040,4507,2248,26,23,3,27,19,1308,55,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,35,9,20,6,15,34,44.1,28,6,22,47,22,0,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0,53,3,5,13,6,3,0,0,1370,17,2023-2024,Central Midfielders,26
Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,28.8,fr Ligue 1,2198,237,820,1233,165,32,2198,31,15,48.4,16,51.6,1582,10223,5460,42,26,2,24,23,1405,19,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4,1599,1838,87.0,32774,10984,476,525,90.7,855,926,92.3,240,343,70.0,1,1.5,1.6,-0.5,12,172,5,1,179,65,38,23,4,44,64,68.8,47,25,22,120,116,1,1,32,5,15.6,1.11,0.17,0.03,0.2,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0,106,5,11,48,0,0,0,0,1599,11,2023-2024,Defender,26
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,2.6,es La Liga,104,84,104,0,0,0,104,0,0,0.0,0,0.0,58,348,192,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,67,100,67.0,1906,1648,19,19,100.0,27,27,100.0,21,53,39.6,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,67,1,2023-2024,GK,22
Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,it Serie A,6,0,1,4,1,0,6,1,0,0.0,1,100.0,2,7,5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2023-2024,Central Midfielders,21
Lucien Agoume,fr FRA,MF,Sevilla,21,2002,8.6,es La Liga,430,17,108,245,83,12,430,8,7,87.5,1,12.5,221,1218,590,7,3,2,4,4,273,9,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3,301,360,83.6,5285,1424,141,163,86.5,120,135,88.9,31,42,73.8,0,0.6,0.3,-0.6,9,36,5,1,35,23,7,14,2,9,12,75.0,6,1,5,30,8,0,0,6,2,33.3,0.69,0.23,0.0,0.0,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0,4,1,2,0,0,0,0,0,301,6,2023-2024,Central Midfielders,21
Felix Agu,de GER,"DF,MF",Werder Bremen,23,1999,17.9,de Bundesliga,886,61,302,363,229,24,886,35,14,40.0,17,48.6,460,2297,1223,32,16,7,32,10,495,90,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5,488,669,72.9,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,0,0.6,1.4,-0.6,7,18,16,7,32,45,28,13,4,29,41,70.7,27,7,20,58,41,0,0,11,0,0.0,0.61,0.0,0.0,0.0,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0,128,0,2,124,1,0,0,0,488,30,2023-2024,Defender,23
Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,eng Premier League,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,26,19,7,0,16,22,72.7,33,24,9,43,85,2,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,14,0.68,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,75,1,29,6,0,0,0,0,943,5,2023-2024,Defender,27
